Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
NUF.DU,Nufarm Ltd,3.1400,+0.0400,+1.29%,50,0,N/A,N/A
97S.DU,Stella-Jones Inc,45.20,-0.60,-1.31%,175,0,N/A,N/A
MMPI.DU,Champion Iron Ltd,3.9250,+0.0300,+0.77%,"1,100",0,N/A,N/A
QYM.DU,Sociedad Quimica Y Minera De Chile SA,65.00,-0.20,-0.31%,40,17,N/A,N/A
NPS.DU,Nippon Steel Corp,19.16,-0.03,-0.14%,400,0,N/A,N/A
LEN.DU,Lenzing AG,55.10,-4.90,-8.17%,325,3,N/A,N/A
SHJ.DU,AGC Inc,33.40,-0.40,-1.18%,100,0,N/A,N/A
RU8.DU,Renascor Resources Ltd,0.1130,+0.0020,+1.80%,"8,000","1,758",N/A,N/A
9D7.DU,Gullberg & Jansson AB,2.3100,0.0000,0.00%,323,0,N/A,N/A
W25.DU,West African Resources Ltd,0.5254,+0.0148,+2.90%,N/A,0,N/A,N/A
CVLC.DU,Vale SA,13.91,+0.47,+3.50%,"2,000",93,N/A,N/A
IBU.DU,IBU-tec advanced materials AG,25.90,-0.20,-0.77%,25,9,N/A,N/A
C8U.DU,Chalice Mining Ltd,4.3650,+0.0850,+1.99%,200,10,N/A,N/A
KCN.DU,Kingsgate Consolidated Ltd,0.8280,+0.0645,+8.45%,"1,000",17,N/A,N/A
FR4N.DU,Freegold Ventures Ltd,0.3280,-0.0040,-1.20%,"8,000",0,N/A,N/A
DPU.DU,Dundee Precious Metals Inc,6.20,-0.01,-0.13%,309,0,N/A,N/A
C480.BE,Atlas Lithium Corp,18.80,+0.30,+1.62%,35,1,N/A,N/A
TR3.BE,Vanadium Resources Ltd,0.0495,-0.0060,-10.81%,"15,000",0,N/A,N/A
5FG.SG,Ferroglobe PLC,4.7800,-0.0400,-0.83%,0,0,N/A,N/A
RIOA.BE,Rio Tinto PLC,61.60,-0.80,-1.28%,196,4,N/A,N/A
GSM.BE,Grupo Simec SAB de CV,28.20,-1.60,-5.37%,0,0,N/A,N/A
AOD.DU,Anglogold Ashanti Ltd,22.00,0.00,0.00%,450,8,N/A,N/A
SEG1.DU,Southern Silver Exploration Corp,0.1155,+0.0010,+0.87%,"26,250",468,N/A,N/A
S0C.DU,SilverCrest Metals Inc,5.45,+0.02,+0.37%,"1,000",21,N/A,N/A
47A.SG,Kingman Minerals Ltd,0.0840,0.0000,0.00%,0,69,N/A,N/A
VI9A.DU,Victoria Gold Corp,5.62,+0.09,+1.63%,335,0,N/A,N/A
R1EA.DU,EV Resources Ltd,0.0070,-0.0005,-6.67%,"490,000",0,N/A,N/A
90N.DU,Afyren,5.06,+0.04,+0.80%,250,0,N/A,N/A
HWHG.DU,Tata Steel Ltd,12.00,0.00,0.00%,500,6,N/A,N/A
XV6.DU,Enviva Inc,10.93,+0.40,+3.84%,26,5,N/A,N/A
6CU.DU,Danimer Scientific Inc,2.7220,-0.0180,-0.66%,N/A,0,N/A,N/A
8RA.DU,Aurion Resources Ltd,0.4120,-0.0100,-2.37%,"2,000",89,N/A,N/A
DH8C.DU,Lomiko Metals Inc,0.0135,-0.0015,-10.00%,"1,000",0,N/A,N/A
EUS.DU,Kore Mining Ltd,0.0230,+0.0025,+12.20%,"10,000",178,N/A,N/A
1W5.DU,Westhaven Gold Corp,0.1755,+0.0025,+1.45%,N/A,0,N/A,N/A
5R0.DU,Ramaco Resources Inc,7.85,-0.15,-1.88%,30,0,N/A,N/A
H3M.DU,Hochschild Mining PLC,0.9535,+0.0025,+0.26%,"7,950",156,N/A,N/A
NS7.DU,Northern Star Resources Ltd,8.31,+0.31,+3.88%,50,0,N/A,N/A
TOS.DU,Tosoh Corp,11.40,0.00,0.00%,80,0,N/A,N/A
MBU.DU,Buenaventura Mining Co Inc,6.70,0.00,0.00%,"10,000",0,N/A,N/A
RKM.DU,Red 5 Ltd,0.1060,+0.0030,+2.91%,"3,000",53,N/A,N/A
NSN.DU,Neschen AG,0.0045,0.0000,0.00%,100,1,N/A,N/A
NTG.DU,Nabaltec AG,20.90,0.00,0.00%,10,0,N/A,N/A
SAO.DU,Sasol Ltd,12.50,-0.30,-2.34%,300,5,N/A,N/A
I8M.DU,Sims Ltd,9.55,+0.14,+1.47%,25,0,N/A,N/A
EY3.DU,Century Aluminum Co,8.89,-0.02,-0.20%,64,5,N/A,N/A
I6R.BE,Horizon Minerals Ltd,0.0250,+0.0002,+0.81%,"17,000",303,N/A,N/A
CEXA.DU,Cemex SAB de CV,6.50,-0.10,-1.52%,370,0,N/A,N/A
F5J.DU,Mineral Resources Ltd,45.64,+1.92,+4.40%,20,0,N/A,N/A
E3E.DU,Elementis PLC,1.2000,0.0000,0.00%,100,0,N/A,N/A
UCM.DU,Buzzi Unicem SpA,22.28,0.00,0.00%,130,2,N/A,N/A
S9Y.DU,Silvercorp Metals Inc,2.6100,-0.0020,-0.08%,"1,400",25,N/A,N/A
ICA.DU,Orica Ltd,9.45,+0.05,+0.53%,640,0,N/A,N/A
GY5.DU,Euro Ressources SA,2.8800,0.0000,0.00%,N/A,0,N/A,N/A
ASAA.DU,Asahi Kasei Corp,6.21,-0.06,-0.99%,100,1,N/A,N/A
NMM.DU,Newmont Corp,39.08,+0.40,+1.03%,30,17,N/A,N/A
SAT.DU,Saga Pure ASA,0.1228,+0.0014,+1.15%,N/A,0,N/A,N/A
NKC.SG,Canfor Corp,14.65,+0.02,+0.14%,0,69,N/A,N/A
PYV.DU,Pacific Metals Co Ltd,10.20,0.00,0.00%,500,0,N/A,N/A
KYC.DU,Mondi PLC,14.60,-0.10,-0.68%,600,10,N/A,N/A
RS6.DU,Reliance Steel & Aluminum Co,232.00,0.00,0.00%,10,0,N/A,N/A
48M.DU,Foran Mining Corp,2.3400,+0.0600,+2.63%,N/A,0,N/A,N/A
21L.DU,Alphamin Resources Corp,0.6220,+0.0110,+1.80%,735,48,N/A,N/A
BOU1.DU,Bougainville Copper Ltd,0.2120,0.0000,0.00%,"5,000",910,N/A,N/A
GOU.DU,Centerra Gold Inc,5.50,+0.02,+0.36%,300,0,N/A,N/A
9CH.DU,Galan Lithium Ltd,0.5985,+0.0200,+3.46%,"3,000",53,N/A,N/A
ND3.DU,Northern Dynasty Minerals Ltd,0.2000,+0.0040,+2.04%,"20,000",357,N/A,N/A
GDUB.DU,Gerdau SA,4.7000,+0.1000,+2.17%,152,6,N/A,N/A
F4S.DU,Fortuna Silver Mines Inc,2.9990,-0.0020,-0.07%,"2,500",0,N/A,N/A
TPY1.DU,Tipco Asphalt PCL,0.4760,0.0000,0.00%,N/A,0,N/A,N/A
HOF.BE,Essentra PLC,2.0600,-0.0200,-0.96%,0,0,N/A,N/A
S5WA.BE,Bluejay Mining PLC,0.0304,0.0000,0.00%,"65,300",0,N/A,N/A
MMX.BE,Martin Marietta Materials Inc,392.40,-0.30,-0.08%,3,0,N/A,N/A
E86.BE,European Metals Holdings Ltd,0.5240,+0.0040,+0.77%,600,10,N/A,N/A
4HM.SG,Vicat SA,27.75,-0.25,-0.89%,0,0,N/A,N/A
80W.BE,Save Foods Inc,0.6290,+0.0120,+1.94%,500,8,N/A,N/A
HWHG.BE,Tata Steel Ltd,12.40,+0.10,+0.81%,97,0,N/A,N/A
S01.SG,SunCoke Energy Inc,7.10,+0.10,+1.43%,0,2,N/A,N/A
17G1.BE,Kiplin Metals Inc,0.2760,+0.0460,+20.00%,"1,600","2,549",N/A,N/A
KR1.BE,Kalamazoo Resources Ltd,0.0834,+0.0048,+6.11%,N/A,0,N/A,N/A
GXD.MU,Lundin Mining Corp,7.51,+0.11,+1.49%,300,60,N/A,N/A
B4T0.BE,CuFe Ltd,0.0090,0.0000,0.00%,"4,000",0,N/A,N/A
3FN.BE,Adriatic Metals PLC,1.8900,+0.1100,+6.18%,250,0,N/A,N/A
SDL.BE,FYI Resources Ltd,0.0674,+0.0020,+3.06%,"8,000",142,N/A,N/A
MUG.HA,Mitsubishi Gas Chemical Co Inc,13.30,-0.20,-1.48%,N/A,0,N/A,N/A
02P.BE,Pearl Gold AG,0.5850,0.0000,0.00%,"10,000",178,N/A,N/A
5GP.MU,K9 Gold Corp,0.0226,0.0000,0.00%,"100,000","1,785",N/A,N/A
BNR.MU,Brenntag SE,70.00,-1.88,-2.62%,40,49,N/A,N/A
EIS.SG,Eisen- und Huettenwerke AG,10.50,+0.40,+3.96%,0,35,N/A,N/A
HAM.HA,Harmony Gold Mining Co Ltd,4.1400,-0.0200,-0.48%,N/A,0,N/A,N/A
HETA.SG,KHD Humboldt Wedag Industrial Services AG,9.10,0.00,0.00%,0,0,N/A,N/A
PLR.BE,Pilbara Minerals Ltd,3.0220,+0.1180,+4.06%,500,11,N/A,N/A
87K.SG,Nevada Lithium Resources Inc,0.1380,+0.0330,+31.43%,0,860,N/A,N/A
29W.SG,White Gold Corp,0.2200,-0.0040,-1.79%,0,125,N/A,N/A
8OH.BE,Arcadia Minerals Ltd,0.0940,+0.0115,+13.94%,"1,500",0,N/A,N/A
PTJ.BE,Antilles Gold Ltd,0.0265,+0.0005,+1.92%,"43,900",0,N/A,N/A
32Z.BE,South32 Ltd,2.4560,-0.0320,-1.29%,"2,200",90,N/A,N/A
L2Q.BE,Latrobe Magnesium Ltd,0.0368,0.0000,0.00%,"50,000",0,N/A,N/A
7BR.BE,Bulletin Resources Ltd,0.0411,+0.0003,+0.74%,N/A,0,N/A,N/A
3XS.SG,Excelsior Mining Corp,0.1415,-0.0005,-0.35%,0,0,N/A,N/A
GGD.SG,GoGold Resources Inc,0.9715,+0.0305,+3.24%,0,"1,703",N/A,N/A
JT71.SG,Australian Vanadium Ltd,0.0234,-0.0015,-6.02%,"1,000","60,437",N/A,N/A
2KI0.SG,Warriedar Resources Ltd,0.0555,-0.0005,-0.89%,0,5,N/A,N/A
7YR.SG,Kaiser Reef Ltd,0.1270,+0.0100,+8.55%,0,178,N/A,N/A
3F3.SG,Foraco International SA,1.1100,+0.0200,+1.83%,0,75,N/A,N/A
DW8.SG,Tantalex Lithium Resources Corp,0.0695,-0.0035,-4.79%,0,"12,660",N/A,N/A
NOH1.HM,Norsk Hydro ASA,6.27,-0.05,-0.79%,"1,693",399,N/A,N/A
BHP1.MU,BHP Group Ltd,28.86,-0.17,-0.60%,100,175,N/A,N/A
3PM.BE,Infinity Lithium Corp Ltd,0.0694,+0.0014,+2.06%,"10,000",0,N/A,N/A
GCL.BE,Golden Cross Resources Ltd,0.0050,0.0000,0.00%,"90,000",0,N/A,N/A
BSG0.BE,Atlantic Lithium Ltd,0.3840,+0.0040,+1.05%,"20,000",0,N/A,N/A
IHS.BE,Jervois Global Ltd,0.0570,+0.0131,+29.84%,825,0,N/A,N/A
CQ4.BE,Mandrake Resources Ltd,0.0265,+0.0025,+10.42%,"10,000",0,N/A,N/A
AE9.MU,Agnico Eagle Mines Ltd,46.07,+0.06,+0.13%,19,8,N/A,N/A
CVLB.BE,Vale SA,13.15,+0.05,+0.38%,10,12,N/A,N/A
TEKB.SG,Teck Resources Ltd,39.36,-0.29,-0.73%,100,226,N/A,N/A
4QT1.SG,Hexpol AB,10.28,+0.06,+0.59%,0,8,N/A,N/A
1CO1.SG,Covestro AG,20.00,+0.30,+1.52%,0,21,N/A,N/A
CVA.DE,Cleveland-Cliffs Inc,15.37,0.00,0.00%,"1,567",283,2.358B,N/A
OUTA.SG,Outokumpu Oyj,5.53,+0.00,+0.07%,0,35,N/A,N/A
RS6.BE,Reliance Steel & Aluminum Co,232.00,0.00,0.00%,30,0,N/A,N/A
K1W.MU,Kronos Worldwide Inc,8.20,-0.15,-1.80%,"1,200",0,N/A,N/A
88L.HM,Sylvamo Corp,40.02,+0.14,+0.35%,9,0,N/A,N/A
88L.HA,Sylvamo Corp,39.84,-0.04,-0.10%,3,0,N/A,N/A
9CH.DU,Galan Lithium Ltd,0.5985,+0.0200,+3.46%,"3,000",53,N/A,N/A
ND3.DU,Northern Dynasty Minerals Ltd,0.2000,+0.0040,+2.04%,"20,000",357,N/A,N/A
GDUB.DU,Gerdau SA,4.7000,+0.1000,+2.17%,152,6,N/A,N/A
F4S.DU,Fortuna Silver Mines Inc,2.9990,-0.0020,-0.07%,"2,500",0,N/A,N/A
TPY1.DU,Tipco Asphalt PCL,0.4760,0.0000,0.00%,N/A,0,N/A,N/A
SEG1.DU,Southern Silver Exploration Corp,0.1155,+0.0010,+0.87%,"26,250",468,N/A,N/A
HWHG.DU,Tata Steel Ltd,12.00,0.00,0.00%,500,6,N/A,N/A
8RA.DU,Aurion Resources Ltd,0.4120,-0.0100,-2.37%,"2,000",89,N/A,N/A
DH8C.DU,Lomiko Metals Inc,0.0135,-0.0015,-10.00%,"1,000",0,N/A,N/A
47A.SG,Kingman Minerals Ltd,0.0840,0.0000,0.00%,0,69,N/A,N/A
VI9A.DU,Victoria Gold Corp,5.62,+0.09,+1.63%,335,0,N/A,N/A
R1EA.DU,EV Resources Ltd,0.0070,-0.0005,-6.67%,"490,000",0,N/A,N/A
IPH1.DU,Impala Platinum Holdings Ltd,7.85,+0.15,+1.95%,200,56,N/A,N/A
VJF.DU,Vital Metals Ltd,0.0052,0.0000,0.00%,"10,000","14,642",N/A,N/A
SRM.DU,Seabridge Gold Inc,11.20,0.00,0.00%,170,12,N/A,N/A
WMC.DU,Alumina Ltd,3.2200,+0.0200,+0.62%,75,0,N/A,N/A
RSM.DU,Resolute Mining Ltd,0.2576,-0.0018,-0.69%,"17,500",580,N/A,N/A
H3M.DU,Hochschild Mining PLC,0.9535,+0.0025,+0.26%,"7,950",156,N/A,N/A
NS7.DU,Northern Star Resources Ltd,8.31,+0.31,+3.88%,50,0,N/A,N/A
1COV.DU,Covestro AG,40.43,-0.02,-0.05%,75,168,N/A,N/A
YM9A.SG,Maanshan Iron And Steel Co Ltd,0.1590,+0.0050,+3.25%,0,243,N/A,N/A
AOD1.DU,Anglogold Ashanti Ltd,22.10,+0.20,+0.91%,400,14,N/A,N/A
RS6.DU,Reliance Steel & Aluminum Co,232.00,0.00,0.00%,10,0,N/A,N/A
48M.DU,Foran Mining Corp,2.3400,+0.0600,+2.63%,N/A,0,N/A,N/A
21L.DU,Alphamin Resources Corp,0.6220,+0.0110,+1.80%,735,48,N/A,N/A
BOU1.DU,Bougainville Copper Ltd,0.2120,0.0000,0.00%,"5,000",910,N/A,N/A
GOU.DU,Centerra Gold Inc,5.50,+0.02,+0.36%,300,0,N/A,N/A
AOD.DU,Anglogold Ashanti Ltd,22.00,0.00,0.00%,450,8,N/A,N/A
S0C.DU,SilverCrest Metals Inc,5.45,+0.02,+0.37%,"1,000",21,N/A,N/A
XV6.DU,Enviva Inc,10.93,+0.40,+3.84%,26,5,N/A,N/A
6CU.DU,Danimer Scientific Inc,2.7220,-0.0180,-0.66%,N/A,0,N/A,N/A
TOS.DU,Tosoh Corp,11.40,0.00,0.00%,80,0,N/A,N/A
MBU.DU,Buenaventura Mining Co Inc,6.70,0.00,0.00%,"10,000",0,N/A,N/A
RKM.DU,Red 5 Ltd,0.1060,+0.0030,+2.91%,"3,000",53,N/A,N/A
NSN.DU,Neschen AG,0.0045,0.0000,0.00%,100,1,N/A,N/A
NTG.DU,Nabaltec AG,20.90,0.00,0.00%,10,0,N/A,N/A
SAO.DU,Sasol Ltd,12.50,-0.30,-2.34%,300,5,N/A,N/A
I8M.DU,Sims Ltd,9.55,+0.14,+1.47%,25,0,N/A,N/A
EY3.DU,Century Aluminum Co,8.89,-0.02,-0.20%,64,5,N/A,N/A
I6R.BE,Horizon Minerals Ltd,0.0250,+0.0002,+0.81%,"17,000",303,N/A,N/A
CEXA.DU,Cemex SAB de CV,6.50,-0.10,-1.52%,370,0,N/A,N/A
NPS.DU,Nippon Steel Corp,19.16,-0.03,-0.14%,400,0,N/A,N/A
ASAA.DU,Asahi Kasei Corp,6.21,-0.06,-0.99%,100,1,N/A,N/A
NMM.DU,Newmont Corp,39.08,+0.40,+1.03%,30,17,N/A,N/A
SAT.DU,Saga Pure ASA,0.1228,+0.0014,+1.15%,N/A,0,N/A,N/A
NKC.SG,Canfor Corp,14.65,+0.02,+0.14%,0,69,N/A,N/A
PC5.SG,Plant Health Care PLC,0.1070,-0.0010,-0.93%,0,N/A,N/A,N/A
90N.DU,Afyren,5.06,+0.04,+0.80%,250,0,N/A,N/A
N7T.BE,Nutrien Ltd,54.20,+0.40,+0.74%,100,0,N/A,N/A
CE2.MU,CropEnergies AG,10.34,+0.10,+0.98%,350,47,N/A,N/A
H0Q.DU,China Hongqiao Group Ltd,0.7240,-0.0032,-0.44%,10,0,N/A,N/A
OAY3.DU,Argentina Lithium & Energy Corp,0.1505,-0.0100,-6.23%,"9,999",242,N/A,N/A
765.DU,Alpha Lithium Corp,0.9740,+0.0040,+0.41%,"1,000",147,N/A,N/A
8LN.DU,Loma Negra Cia Industria Argentina SA,5.75,-0.10,-1.71%,149,0,N/A,N/A
RIO1.SG,Rio Tinto PLC,62.85,+0.12,+0.19%,30,"1,025",N/A,N/A
KAP.HA,Kansai Paint Co Ltd,13.80,-0.20,-1.43%,N/A,0,N/A,N/A
SDF1.MU,K+S AG,8.05,0.00,0.00%,100,20,N/A,N/A
ND5.BE,Nitto Denko Corp,70.00,+0.50,+0.72%,207,0,N/A,N/A
LEN.MU,Lenzing AG,56.00,-4.70,-7.74%,100,35,N/A,N/A
4G1.BE,Ioneer Ltd,0.2206,+0.0148,+7.19%,"11,000",617,N/A,N/A
C0O.SG,Vital Battery Metals Inc,0.1880,+0.0080,+4.44%,0,549,N/A,N/A
W47.SG,Grid Battery Metals Inc,0.0566,+0.0100,+21.46%,0,"1,035",N/A,N/A
HRT.SG,Sherritt International Corp,0.3285,+0.0045,+1.39%,0,"1,639",N/A,N/A
US8.SG,McEwen Mining Inc,6.45,0.00,0.00%,0,132,N/A,N/A
M01.SG,Mason Graphite Inc,0.1570,+0.0065,+4.32%,0,"1,305",13.616M,N/A
3TA2.SG,Universal Copper Ltd,0.0040,-0.0020,-33.33%,0,"1,428",N/A,N/A
0B51.SG,Osisko Metals Inc,0.1590,-0.0050,-3.05%,0,59,N/A,N/A
M9R.SG,Zincx Resources Corp,0.0570,-0.0020,-3.39%,0,"1,162",N/A,N/A
ADG.SG,Advanced Metallurgical Group NV,48.16,-0.82,-1.67%,200,172,N/A,N/A
02P.BE,Pearl Gold AG,0.5850,0.0000,0.00%,"10,000",178,N/A,N/A
J0C.SG,Alpha Exploration Ltd,0.4520,+0.0060,+1.35%,N/A,0,N/A,N/A
6JX.SG,POWR Lithium Corp,0.1050,+0.0270,+34.62%,"5,000","2,208",N/A,N/A
R26.SG,Aben Minerals Ltd,0.0960,-0.0005,-0.52%,0,35,N/A,N/A
ZP1.SG,Aris Mining Corp,2.0600,-0.0200,-0.96%,0,223,N/A,N/A
S5L.MU,Standard Lithium Corp,3.7680,-0.1460,-3.73%,"1,001",985,N/A,N/A
NGLB.SG,Anglo American PLC,30.10,+0.20,+0.67%,10,341,N/A,N/A
QSG.SG,Sky Gold Corp,0.0560,-0.0030,-5.08%,0,30,N/A,N/A
U7N1.SG,Canada Carbon Inc,0.0200,0.0000,0.00%,0,"1,128",N/A,N/A
HM40.SG,Stallion Discoveries Corp,0.1450,-0.0110,-7.05%,0,"14,873",N/A,N/A
J0G.SG,Stillwater Critical Minerals Corp,0.1140,0.0000,0.00%,0,"1,961",N/A,N/A
7S50.SG,General Copper Gold Corp,0.0455,+0.0140,+44.44%,0,0,N/A,N/A
458.SG,Q2 Metals Corp,0.6150,+0.0200,+3.36%,0,53,N/A,N/A
9AJ1.SG,Altiplano Metals Inc,0.0572,+0.0006,+1.06%,0,813,N/A,N/A
H56.SG,Tudor Gold Corp,0.8130,+0.0040,+0.49%,0,"2,138",N/A,N/A
54NA.SG,Elevation Gold Mining Corp,0.0886,+0.0016,+1.84%,0,539,N/A,N/A
3V41.SG,Visible Gold Mines Inc,0.0685,+0.0005,+0.74%,0,"1,689",N/A,N/A
BR30.SG,NioCorp Developments Ltd,4.5300,-0.0950,-2.05%,0,365,N/A,N/A
27G0.SG,Clarity Metals Corp,0.0606,-0.0042,-6.48%,0,"2,428",N/A,N/A
HL2.SG,Frontier Lithium Inc,1.3000,+0.0400,+3.17%,0,74,N/A,N/A
1UR1.SG,Bee Vectoring Technologies International Inc,0.0602,0.0000,0.00%,0,"7,458",N/A,N/A
TZU2.SG,Trigon Metals Inc,0.1575,0.0000,0.00%,"25,000","1,312",N/A,N/A
ELO1.SG,Eldorado Gold Corp,9.02,0.00,0.00%,0,"1,579",N/A,N/A
MPG.SG,Mountain Province Diamonds Inc,0.3060,-0.0280,-8.38%,0,"1,074",N/A,N/A
M0LY.SG,Greenland Resources Inc,0.4700,-0.0450,-8.74%,0,0,N/A,N/A
HPU.SG,Copper Fox Metals Inc,0.1620,-0.0030,-1.82%,0,0,N/A,N/A
862.SG,Geologica Resource Corp,0.0265,-0.0005,-1.85%,0,928,N/A,N/A
ID4.SG,Recylico Battery Materials Inc,0.2820,-0.0380,-11.87%,0,"1,266",N/A,N/A
X1Q.SG,Lithium Royalty Corp,9.20,-0.20,-2.13%,0,7,N/A,N/A
1I1.SG,International Tower Hill Mines Ltd,0.3800,-0.0150,-3.80%,0,76,N/A,N/A
OU6.SG,Bear Creek Mining Corp,0.3070,-0.0180,-5.54%,0,"2,973",N/A,N/A
87K.SG,Nevada Lithium Resources Inc,0.1380,+0.0330,+31.43%,0,860,N/A,N/A
756.SG,Cassiar Gold Corp,0.2730,+0.0005,+0.18%,0,371,N/A,N/A
P4XA.SG,Canada Rare Earth Corp,0.0210,-0.0015,-6.67%,0,0,N/A,N/A
8RE.SG,International Battery Metals Ltd,0.5850,+0.0250,+4.46%,0,17,N/A,N/A
7YR.SG,Kaiser Reef Ltd,0.1270,+0.0100,+8.55%,0,178,N/A,N/A
DW8.SG,Tantalex Lithium Resources Corp,0.0695,-0.0035,-4.79%,0,"12,660",N/A,N/A
JT71.SG,Australian Vanadium Ltd,0.0234,-0.0015,-6.02%,"1,000","60,437",N/A,N/A
BHP1.MU,BHP Group Ltd,28.86,-0.17,-0.60%,100,175,N/A,N/A
IHS.BE,Jervois Global Ltd,0.0570,+0.0131,+29.84%,825,0,N/A,N/A
CQ4.BE,Mandrake Resources Ltd,0.0265,+0.0025,+10.42%,"10,000",0,N/A,N/A
NOH1.HM,Norsk Hydro ASA,6.27,-0.05,-0.79%,"1,693",399,N/A,N/A
MUG.HA,Mitsubishi Gas Chemical Co Inc,13.30,-0.20,-1.48%,N/A,0,N/A,N/A
2KI0.SG,Warriedar Resources Ltd,0.0555,-0.0005,-0.89%,0,5,N/A,N/A
3PM.BE,Infinity Lithium Corp Ltd,0.0694,+0.0014,+2.06%,"10,000",0,N/A,N/A
GCL.BE,Golden Cross Resources Ltd,0.0050,0.0000,0.00%,"90,000",0,N/A,N/A
BSG0.BE,Atlantic Lithium Ltd,0.3840,+0.0040,+1.05%,"20,000",0,N/A,N/A
T6UP.SG,Altamira Gold Corp,0.1740,+0.0340,+24.29%,"3,100",0,N/A,N/A
ZVL.HM,Zhaojin Mining Industry Co Ltd,1.2400,+0.0400,+3.33%,350,0,N/A,N/A
SAOA.BE,Sasol Ltd,12.80,+0.05,+0.39%,22,1,N/A,N/A
32Z.BE,South32 Ltd,2.4560,-0.0320,-1.29%,"2,200",90,N/A,N/A
SDL.BE,FYI Resources Ltd,0.0674,+0.0020,+3.06%,"8,000",142,N/A,N/A
GXD.MU,Lundin Mining Corp,7.51,+0.11,+1.49%,300,60,N/A,N/A
B4T0.BE,CuFe Ltd,0.0090,0.0000,0.00%,"4,000",0,N/A,N/A
3FN.BE,Adriatic Metals PLC,1.8900,+0.1100,+6.18%,250,0,N/A,N/A
29W.SG,White Gold Corp,0.2200,-0.0040,-1.79%,0,125,N/A,N/A
9CH.BE,Galan Lithium Ltd,0.6130,+0.0165,+2.77%,"8,841",0,N/A,N/A
1BHA.BE,American Rare Earths Ltd,0.0929,-0.0039,-4.03%,"20,000",0,N/A,N/A
0W2.BE,Westgold Resources Ltd,0.8814,+0.0062,+0.71%,"8,000",169,N/A,N/A
DML.BE,Sayona Mining Ltd,0.1108,+0.0014,+1.28%,"4,550",920,N/A,N/A
7BR.BE,Bulletin Resources Ltd,0.0411,+0.0003,+0.74%,N/A,0,N/A,N/A
L2Q.BE,Latrobe Magnesium Ltd,0.0368,0.0000,0.00%,"50,000",0,N/A,N/A
KR1.BE,Kalamazoo Resources Ltd,0.0834,+0.0048,+6.11%,N/A,0,N/A,N/A
8OH.BE,Arcadia Minerals Ltd,0.0940,+0.0115,+13.94%,"1,500",0,N/A,N/A
PTJ.BE,Antilles Gold Ltd,0.0265,+0.0005,+1.92%,"43,900",0,N/A,N/A
JO00.SG,Usha Resources Ltd,0.1770,-0.0060,-3.28%,0,526,N/A,N/A
RJIB.SG,Rock Tech Lithium Inc,1.3800,+0.0080,+0.58%,"1,150","5,101",N/A,N/A
0HR.BE,Everfuel AS,1.8800,+0.0500,+2.73%,29,8,N/A,N/A
BO4.BE,Borregaard ASA,15.28,-0.20,-1.29%,55,0,N/A,N/A
INX.BE,IMCD NV,136.15,+1.15,+0.85%,N/A,0,N/A,N/A
FWQ.SG,Mount Gibson Iron Ltd,0.3060,+0.0100,+3.38%,0,0,N/A,N/A
T5Z.SG,Ternium SA,37.40,-0.20,-0.53%,0,0,N/A,N/A
ECJ.SG,Ecolab Inc,164.95,-0.60,-0.36%,0,40,N/A,N/A
ZS2.SG,TimkenSteel Corp,17.60,0.00,0.00%,0,0,N/A,N/A
RG3.BE,Royal Gold Inc,106.25,-0.85,-0.79%,5,0,N/A,N/A
PCU.BE,Southern Copper Corp,67.40,-0.40,-0.59%,103,5,N/A,N/A
88L.HM,Sylvamo Corp,40.02,+0.14,+0.35%,9,0,N/A,N/A
88L.HA,Sylvamo Corp,39.84,-0.04,-0.10%,3,0,N/A,N/A
UEO.BE,Westlake Corp,105.00,+1.00,+0.96%,N/A,0,N/A,N/A
WD1.MU,WD-40 Co,185.00,+2.00,+1.09%,10,0,N/A,N/A
XCRA.SG,CRH PLC,48.00,0.00,0.00%,0,0,N/A,N/A
BHP.MU,BHP Group Ltd,58.00,+0.60,+1.05%,60,1,N/A,N/A
5WC.MU,Clearwater Paper Corp,29.00,0.00,0.00%,295,0,N/A,N/A
AOCA.SG,Aluminum Corp of China Ltd,10.80,+0.60,+5.88%,0,73,N/A,N/A
2X0.MU,Corteva Inc,52.30,0.00,0.00%,4,1,N/A,N/A
UEO.SG,Westlake Corp,105.00,+1.00,+0.96%,0,0,N/A,N/A
4MO.F,Montego Resources Inc.,0.0415,0.0000,0.00%,200,"2,422",2.229M,N/A
ABR.HM,Barrick Gold Corp,15.07,-0.02,-0.13%,"10,100",269,N/A,N/A
NO0.SG,Nova Royalty Corp,1.1180,+0.0380,+3.52%,0,117,N/A,N/A
3GW.BE,Great Northern Minerals Ltd,0.0225,0.0000,0.00%,N/A,0,N/A,N/A
7CT.MU,Centamin PLC,1.1010,0.0000,0.00%,"1,000",0,N/A,N/A
B8Y.BE,Boss Energy Ltd,1.9045,-0.0040,-0.21%,"1,842",104,N/A,N/A
8RR.SG,Rockhaven Resources Ltd,0.0360,0.0000,0.00%,0,67,N/A,N/A
KIN2.BE,Kinross Gold Corp,4.4100,-0.0260,-0.59%,50,0,N/A,N/A
FMK.HM,Ecograf Ltd,0.0992,-0.0032,-3.12%,"30,000","9,358",N/A,N/A
30Z.SG,IperionX Ltd,0.7450,+0.0250,+3.47%,"5,000","2,674",N/A,N/A
